Event,Type,Begin Date,End Date,CPI-Adjusted Cost
North Central and Ohio Valley Hail Storms and Severe WeatherApril 2020,Severe Storm,07-Apr-20,08-Apr-20,3.5
Midwest and Ohio Valley Severe WeatherMarch 2020,Severe Storm,27-Mar-20,28-Mar-20,3.1
Tennessee Tornadoes and Southeast Severe WeatherMarch 2020,Severe Storm,02-Mar-20,04-Mar-20,2.8
"South, East and Northeast Severe WeatherFebruary 2020",Severe Storm,05-Feb-20,07-Feb-20,1.5
Southeast Tornadoes and Northern Storms and FloodingJanuary 2020,Severe Storm,10-Jan-20,12-Jan-20,1.4
California and Alaska WildfiresSummer-Fall 2019,Wildfire,01-Jun-19,30-Nov-19,5.5
Texas Tornadoes and Central Severe WeatherOctober 2019,Severe Storm,20-Oct-19,20-Oct-19,2.1
Tropical Storm ImeldaSeptember 2019,Tropical Cyclone,17-Sep-19,21-Sep-19,6.2
Hurricane DorianSeptember 2019,Tropical Cyclone,28-Aug-19,06-Sep-19,2
"Mississippi River, Midwest and Southern FloodingJuly 2019",Flooding,15-Mar-19,31-Jul-19,7.6
Colorado Hail StormsJuly 2019,Severe Storm,04-Jul-19,05-Jul-19,1.2
Arkansas River FloodingJune 2019,Flooding,20-May-19,14-Jun-19,3.7
"Rockies, Central and Northeast Tornadoes and Severe WeatherMay 2019",Severe Storm,26-May-19,29-May-19,5.7
Central Severe WeatherMay 2019,Severe Storm,16-May-19,18-May-19,1.2
South and Southeast Severe WeatherMay 2019,Severe Storm,07-May-19,13-May-19,1.9
Southern and Eastern Tornadoes and Severe WeatherApril 2019,Severe Storm,13-Apr-19,14-Apr-19,1.6
Missouri River and North Central FloodingMarch 2019,Flooding,14-Mar-19,31-Mar-19,13.4
Texas Hail StormMarch 2019,Severe Storm,22-Mar-19,24-Mar-19,1.9
"Southeast, Ohio Valley and Northeast Severe WeatherFebruary 2019",Severe Storm,23-Feb-19,25-Feb-19,1.5
"Western Wildfires, California FirestormSummer-Fall 2018",Wildfire,01-Jun-18,31-Dec-18,30
Southwest/Southern Plains DroughtSummer-Fall 2018,Drought,01-Jun-18,30-Dec-18,3.8
Hurricane MichaelOctober 2018,Tropical Cyclone,10-Oct-18,11-Oct-18,31.2
Hurricane FlorenceSeptember 2018,Tropical Cyclone,13-Sep-18,16-Sep-18,30
Rockies and Plains Hail StormsAugust 2018,Severe Storm,06-Aug-18,07-Aug-18,1.3
Mountain West Severe WeatherJuly 2018,Severe Storm,26-Jul-18,29-Jul-18,1.1
Central and Eastern Tornadoes and Severe WeatherJuly 2018,Severe Storm,19-Jul-18,22-Jul-18,2
Colorado Hail StormJune 2018,Severe Storm,18-Jun-18,19-Jun-18,2.8
Colorado Hail StormJune 2018,Severe Storm,13-Jun-18,13-Jun-18,1.2
Texas Hail StormJune 2018,Severe Storm,06-Jun-18,06-Jun-18,1.6
Central and Eastern Severe WeatherMay 2018,Severe Storm,13-May-18,15-May-18,1.7
Central and Northeast Severe WeatherMay 2018,Severe Storm,01-May-18,04-May-18,1.8
Southern and Eastern Tornadoes and Severe WeatherApril 2018,Severe Storm,13-Apr-18,16-Apr-18,1.7
Southeastern Tornadoes and Severe WeatherMarch 2018,Severe Storm,18-Mar-18,21-Mar-18,1.8
Northeast Winter StormMarch 2018,Winter Storm,01-Mar-18,03-Mar-18,2.8
Central and Eastern Winter StormJanuary 2018,Winter Storm,03-Jan-18,05-Jan-18,1.3
"Western Wildfires, California FirestormSummer-Fall 2017",Wildfire,01-Jun-17,31-Dec-17,23.2
"North Dakota, South Dakota and Montana DroughtSpring-Fall 2017",Drought,01-Mar-17,31-Dec-17,3.3
Hurricane MariaSeptember 2017,Tropical Cyclone,19-Sep-17,21-Sep-17,115.2
Hurricane IrmaSeptember 2017,Tropical Cyclone,06-Sep-17,12-Sep-17,64
Hurricane HarveyAugust 2017,Tropical Cyclone,25-Aug-17,31-Aug-17,160
Midwest Severe WeatherJune 2017,Severe Storm,27-Jun-17,29-Jun-17,1.8
Midwest Severe WeatherJune 2017,Severe Storm,12-Jun-17,16-Jun-17,1.9
Minnesota Hail Storm and Upper Midwest Severe WeatherJune 2017,Severe Storm,09-Jun-17,11-Jun-17,3
North Central Severe Weather and TornadoesMay 2017,Severe Storm,15-May-17,18-May-17,1.2
Colorado Hail Storm and Central Severe WeatherMay 2017,Severe Storm,08-May-17,11-May-17,4.3
Missouri and Arkansas Flooding and Central Severe WeatherMay 2017,Flooding,25-Apr-17,07-May-17,2.2
South and Southeast Severe WeatherApril 2017,Severe Storm,20-Apr-17,22-Apr-17,1.2
Southeast Severe Weather and TornadoesApril 2017,Severe Storm,04-Apr-17,06-Apr-17,1.3
South/Southeast Severe WeatherMarch 2017,Severe Storm,26-Mar-17,28-Mar-17,3.5
Southeast FreezeMarch 2017,Freeze,14-Mar-17,16-Mar-17,1.3
Midwest Tornado OutbreakMarch 2017,Severe Storm,06-Mar-17,08-Mar-17,2.8
Central/Southeast Tornado OutbreakMarch 2017,Severe Storm,28-Feb-17,01-Mar-17,2.3
California FloodingFebruary 2017,Flooding,08-Feb-17,22-Feb-17,2
Southern Tornado Outbreak and Western StormsJanuary 2017,Severe Storm,20-Jan-17,22-Jan-17,1.4
Western/Southeast WildfiresSummer-Fall 2016,Wildfire,01-Jun-16,31-Dec-16,3.1
West/Northeast/Southeast Drought2016,Drought,01-Jan-16,31-Dec-16,4.6
Hurricane MatthewOctober 2016,Tropical Cyclone,08-Oct-16,12-Oct-16,13.1
Louisiana FloodingAugust 2016,Flooding,12-Aug-16,15-Aug-16,13.3
Rockies and Northeast Severe WeatherJuly 2016,Severe Storm,28-Jul-16,30-Jul-16,1.9
West Virginia Flooding and Ohio Valley TornadoesJune 2016,Flooding,22-Jun-16,24-Jun-16,1.3
Rockies/Central Tornadoes and Severe WeatherMay 2016,Severe Storm,21-May-16,26-May-16,1.5
Plains Tornadoes and Central Severe WeatherMay 2016,Severe Storm,08-May-16,11-May-16,2.3
South/Southeast TornadoesApril 2016,Severe Storm,26-Apr-16,02-May-16,3.2
Houston FloodingApril 2016,Flooding,17-Apr-16,18-Apr-16,3.6
North/Central Texas Hail StormApril 2016,Severe Storm,10-Apr-16,12-Apr-16,4.6
North Texas Hail StormMarch 2016,Severe Storm,23-Mar-16,24-Mar-16,2.7
Southern Severe WeatherMarch 2016,Severe Storm,17-Mar-16,18-Mar-16,1.6
Texas and Louisiana FloodingMarch 2016,Flooding,08-Mar-16,12-Mar-16,3.1
Southeast and Eastern TornadoesFebruary 2016,Severe Storm,22-Feb-16,24-Feb-16,1.4
Western Drought2015,Drought,01-Jan-15,31-Dec-15,6
Texas Tornadoes and Midwest FloodingDecember 2015,Severe Storm,26-Dec-15,29-Dec-15,2.6
Western and Alaskan WildfiresSummer-Fall 2015,Wildfire,01-Jun-15,30-Nov-15,4
South Carolina and East Coast FloodingOctober 2015,Flooding,01-Oct-15,05-Oct-15,2.7
Central and Northeast Severe WeatherJune 2015,Severe Storm,21-Jun-15,25-Jun-15,1.5
Texas and Oklahoma Flooding and Severe WeatherMay 2015,Flooding,23-May-15,26-May-15,3.4
Southern Plains TornadoesMay 2015,Severe Storm,06-May-15,10-May-15,1.7
South and Southeast Severe WeatherApril 2015,Severe Storm,24-Apr-15,25-Apr-15,1.3
South/Southeast Severe WeatherApril 2015,Severe Storm,18-Apr-15,20-Apr-15,1.7
Midwest/Ohio Valley Severe WeatherApril 2015,Severe Storm,07-Apr-15,09-Apr-15,2.1
"Central and Eastern Winter storm, Cold WaveFebruary 2015",Winter Storm,14-Feb-15,20-Feb-15,4
Western Drought2014,Drought,01-Jan-14,31-Dec-14,5.3
Rockies/Plains Severe WeatherSeptember 2014,Severe Storm,29-Sep-14,02-Oct-14,1.9
Michigan and Northeast FloodingAugust 2014,Flooding,11-Aug-14,13-Aug-14,1.4
Rockies/Central Plains Severe WeatherJune 2014,Severe Storm,03-Jun-14,05-Jun-14,2.5
Rockies/Midwest/Eastern Severe WeatherMay 2014,Severe Storm,18-May-14,23-May-14,4.9
Center Severe WeatherMay 2014,Severe Storm,10-May-14,14-May-14,1.1
Midwest/Southeast/Northeast Tornadoes and FloodingApril 2014,Severe Storm,27-Apr-14,01-May-14,2.3
Central Severe WeatherApril 2014,Severe Storm,12-Apr-14,13-Apr-14,1.2
Plains Severe WeatherApril 2014,Severe Storm,02-Apr-14,03-Apr-14,1.9
Midwest/Southeast/Northeast Winter StormJanuary 2014,Winter Storm,05-Jan-14,08-Jan-14,2.9
Western/Plains Drought/Heat WaveSpring-Fall 2013,Drought,01-Mar-13,30-Nov-13,14.3
Ohio Valley TornadoesNovember 2013,Severe Storm,17-Nov-13,17-Nov-13,1.5
Colorado FloodingSeptember 2013,Flooding,10-Sep-13,16-Sep-13,2
Midwest Severe WeatherAugust 2013,Severe Storm,06-Aug-13,07-Aug-13,1.4
Midwest/Plains/Northeast TornadoesMay 2013,Severe Storm,27-May-13,31-May-13,2.4
Midwest/Plains/East TornadoesMay 2013,Severe Storm,18-May-13,22-May-13,3.2
Illinois Flooding and Severe WeatherApril 2013,Flooding,16-Apr-13,19-Apr-13,1.5
Midwest/Plains Severe WeatherApril 2013,Severe Storm,07-Apr-13,11-Apr-13,2
Southeast Severe WeatherMarch 2013,Severe Storm,18-Mar-13,18-Mar-13,2.7
Southern Severe WeatherFebruary 2013,Severe Storm,24-Feb-13,25-Feb-13,1.3
U.S. Drought/Heat Wave2012,Drought,01-Jan-12,31-Dec-12,41.7
Western WildfiresSummer-Fall 2012,Wildfire,01-Jun-12,30-Nov-12,2.4
Hurricane SandyOctober 2012,Tropical Cyclone,30-Oct-12,31-Oct-12,88.5
Hurricane IsaacAugust 2012,Tropical Cyclone,26-Aug-12,31-Aug-12,3.8
Plains/East/Northeast DerechoJune-July 2012,Severe Storm,29-Jun-12,02-Jul-12,4
Rockies/Southwest Severe WeatherJune 2012,Severe Storm,06-Jun-12,12-Jun-12,3.6
Southern Plains/Midwest/Northeast Severe WeatherMay 2012,Severe Storm,25-May-12,30-May-12,3.2
Midwest/Ohio Valley Severe WeatherApril-May 2012,Severe Storm,28-Apr-12,01-May-12,4.5
Midwest TornadoesApril 2012,Severe Storm,13-Apr-12,14-Apr-12,1.5
Texas TornadoesApril 2012,Severe Storm,02-Apr-12,03-Apr-12,1.4
Southeast/Ohio Valley TornadoesMarch 2012,Severe Storm,02-Mar-12,03-Mar-12,4.3
"Texas, New Mexico, Arizona WildfiresSummer-Fall 2011",Wildfire,01-Jun-11,30-Nov-11,2.5
Northeastern Winter StormOctober 2011,Winter Storm,29-Oct-11,30-Oct-11,1.3
Tropical Storm LeeSeptember 2011,Tropical Cyclone,01-Sep-11,05-Sep-11,3.5
Southern Plains/Southwest Drought and Heat WaveSpring-Summer 2011,Drought,01-Mar-11,31-Aug-11,17.1
Hurricane IreneAugust 2011,Tropical Cyclone,26-Aug-11,28-Aug-11,18.8
"Midwest/Southeast Severe WeatherAugust 17-18, 2011",Severe Storm,17-Aug-11,18-Aug-11,1.6
"Rockies and Midwest DerechoJuly 10-11, 2011",Severe Storm,10-Jul-11,11-Jul-11,1.7
"North Central Severe WeatherJuly 1, 2011",Severe Storm,01-Jul-11,01-Jul-11,1.2
Missouri River floodingMay-June 2011,Flooding,01-May-11,30-Jun-11,2.9
Midwest/Southeast Tornadoes and Severe WeatherJune 2011,Severe Storm,18-Jun-11,22-Jun-11,2.2
Mississippi River floodingApril-May 2011,Flooding,01-Apr-11,31-May-11,4.3
Midwest/Southeast TornadoesMay 2011,Severe Storm,22-May-11,27-May-11,12.7
Southeast/Ohio Valley/Midwest TornadoesApril 2011,Severe Storm,25-Apr-11,28-Apr-11,14.3
Ohio Valley Derecho and Southern TornadoesApril 2011,Severe Storm,19-Apr-11,20-Apr-11,1.5
Midwest/Southeast TornadoesApril 2011,Severe Storm,14-Apr-11,16-Apr-11,2.9
Southeast/Midwest TornadoesApril 2011,Severe Storm,08-Apr-11,11-Apr-11,3.1
Midwest/Southeast Tornadoes and DerechoApril 2011,Severe Storm,04-Apr-11,05-Apr-11,3.9
Groundhog Day BlizzardFebruary 2011,Winter Storm,01-Feb-11,03-Feb-11,2.6
Arizona Severe WeatherOctober 2010,Severe Storm,05-Oct-10,06-Oct-10,5.5
